ID,FriendlyStacks,EnemyStacks,Friendly1Elo,Friendly2Elo,Friendly3Elo,Friendly4Elo,Friendly5Elo,Enemy1Elo,Enemy2Elo,Enemy3Elo,Enemy4Elo,Enemy5Elo,InfernoDiff,MirageDiff,TrainDiff,DustIIDiff,NukeDiff,AncientDiff,OverpassDiff,AnubisDiff
787.0,41.0,32.0,16925.0,16702.0,16757.0,14999.0,17013.0,14778.0,13896.0,20000.0,,,-1.0,-2.0,-2.0,3.0,3.0,0.0,4.0,
788.0,2111.0,32.0,16497.0,20000.0,,16229.0,15511.0,14423.0,,,,,0.0,7.0,4.0,1.0,2.0,2.0,8.0,
789.0,221.0,41.0,20226.0,13448.0,14524.0,18725.0,16851.0,17442.0,17855.0,14925.0,,,6.0,9.0,3.0,2.0,-1.0,-8.0,2.0,
790.0,221.0,41.0,16951.0,18412.0,19893.0,15093.0,17197.0,17762.0,13528.0,,18150.0,,1.0,12.0,-5.0,-3.0,4.0,-3.0,3.0,
791.0,41.0,311.0,16800.0,13709.0,16308.0,19895.0,,14891.0,17790.0,,16536.0,16304.0,-2.0,7.0,-3.0,-3.0,-2.0,3.0,-5.0,
792.0,41.0,2111.0,21521.0,24539.0,19393.0,19885.0,16488.0,20824.0,21320.0,21236.0,21424.0,21044.0,-8.0,5.0,-3.0,3.0,0.0,5.0,-2.0,
793.0,41.0,311.0,24581.0,19422.0,16138.0,23331.0,19641.0,22027.0,19268.0,21952.0,20963.0,20107.0,0.0,7.0,-4.0,-6.0,-7.0,11.0,-1.0,
794.0,41.0,5.0,22372.0,24916.0,19784.0,23674.0,16505.0,21577.0,18945.0,24338.0,21930.0,20062.0,-7.0,3.0,0.0,-7.0,0.0,13.0,-2.0,
795.0,5.0,2111.0,19999.0,,24999.0,16847.0,22731.0,23146.0,22047.0,21890.0,22002.0,20369.0,5.0,-7.0,0.0,-2.0,-1.0,2.0,0.0,
796.0,5.0,11111.0,24571.0,16596.0,19157.0,22622.0,23601.0,22188.0,22019.0,21736.0,21574.0,21360.0,-1.0,1.0,-1.0,-4.0,-5.0,5.0,-3.0,
797.0,32.0,41.0,12453.0,16228.0,11090.0,13053.0,,8520.0,17237.0,11455.0,14455.0,,5.0,-3.0,0.0,2.0,7.0,-9.0,-1.0,
798.0,32.0,221.0,10105.0,6395.0,12808.0,3985.0,,,12370.0,8686.0,7939.0,8792.0,-10.0,1.0,-3.0,-1.0,-1.0,8.0,3.0,
