"","ID","PlayerID","Date","LocalTime","StandardTime","PickBan","WarmUp","Advantage","Map","StartSide","TKills","TAssists","TDeaths","CTKills","CTAssists","CTDeaths","Damage","ADR","HS","Result","Rank","Queue","Rating","AvgFriendly","AvgEnemy","AverageOverall","Comments","KASTPercentage","GamesToday","LossStreak","WinStreak","LeetifyRating","LeetifyPosition","LeetifyAim","LeetifyUtility","gamesTest","SID","eloDiff","MTime","dayDifference","TotalKills","TotalAssists","TotalDeaths","AvgDelta","KDR"
"19",35,1,2023-10-15,1899-12-31 18:31:00,1899-12-31 18:31:00,"First","None","Us","Vertigo","T",14,3,11,10,5,7,2208,100,29,"Loss",3973,1,NA,NA,NA,NA,NA,NA,4,3,0,NA,NA,NA,NA,2,"Prem 35",0,18:31:00,0,24,8,18,NA,1.33333333333333
"20",36,1,2023-10-15,1899-12-31 19:15:00,1899-12-31 19:15:00,"First","None","Us","Overpass","T",9,3,6,3,2,9,1394,63,25,"Loss",3973,1,NA,NA,NA,NA,NA,NA,5,4,0,NA,NA,NA,NA,2,"Prem 36",0,19:15:00,0,12,5,15,NA,0.8
"21",37,1,2023-10-15,1899-12-31 20:37:00,1899-12-31 20:37:00,"First","None","Us","Nuke","T",8,3,8,4,2,7,1664,83,26,"Loss",3973,1,NA,NA,NA,NA,NA,NA,6,5,0,NA,NA,NA,NA,2,"Prem 37",0,20:37:00,0,12,5,15,NA,0.8
"22",38,1,2023-10-15,1899-12-31 21:34:00,1899-12-31 21:34:00,"Second","AimLabs","Us","Overpass","CT",5,5,6,12,2,5,1975,98,29,"Win",3973,1,NA,NA,NA,NA,NA,NA,7,0,1,NA,NA,NA,NA,2,"Prem 38",106,21:34:00,0,17,7,11,NA,1.54545454545455
"23",39,1,2023-10-15,1899-12-31 22:42:00,1899-12-31 22:42:00,"First","AimLabs","Us","Mirage","CT",4,1,3,14,4,6,1833,114,11,"Win",4079,1,NA,NA,NA,NA,NA,NA,8,0,2,NA,NA,NA,NA,2,"Prem 39",116,22:42:00,0,18,5,9,NA,2
"24",40,1,2023-10-15,1899-12-31 23:42:00,1899-12-31 23:42:00,"Second","None","Us","Mirage","CT",1,3,3,7,1,5,907,56,25,"Win",4195,1,NA,NA,NA,NA,NA,NA,9,0,3,NA,NA,NA,NA,2,"Prem 40",118,23:42:00,0,8,4,8,NA,1
"25",45,1,2023-10-16,1899-12-31 19:42:00,1899-12-31 19:42:00,"First","AimLabs","Us","Overpass","T",12,2,7,10,3,11,2067,86,4,"Loss",4049,1,NA,NA,NA,NA,NA,NA,4,2,0,NA,NA,NA,NA,2,"Prem 45",-498,19:42:00,0,22,5,18,NA,1.22222222222222
"26",46,1,2023-10-16,1899-12-31 20:35:00,1899-12-31 20:35:00,"Second","None","Us","Mirage","CT",4,0,5,13,2,8,2095,116,17,"Loss",3551,1,NA,NA,NA,NA,NA,NA,5,3,0,NA,NA,NA,NA,2,"Prem 46",0,20:35:00,0,17,2,13,NA,1.30769230769231
"27",47,1,2023-10-16,1899-12-31 21:17:00,1899-12-31 21:17:00,"First","None","Them","Mirage","T",10,2,13,13,4,7,2606,96,39,"Win",3551,1,NA,NA,NA,NA,NA,NA,6,0,1,NA,NA,NA,NA,2,"Prem 47",115,21:17:00,0,23,6,20,NA,1.15
"28",48,1,2023-10-17,1899-12-31 16:14:00,1899-12-31 16:14:00,"Second","None","Us","Overpass","CT",15,7,9,8,2,11,2358,84,13,"Win",3666,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,1,"Prem 48",110,16:14:00,1,23,9,20,NA,1.15
